Nome_Cliente,CPF,ID_Conta,ID_Dossie,Numero_Processo,Base_PIS,Tipo_Garantia,Valor_Garantia,Status_Processo
Paulo Guerra,438.762.519-82,CTA-58044,DOS-50576,40001014320268260103,PIS_TRAB_004,Depósito Judicial,65109.2,PENDENTE
Brayan Vargas,970.341.586-57,CTA-77242,DOS-20265,40028247820268260606,PIS_CIVEL_003,Fiança Bancária,278234.53,EM_ANALISE
Ana Vitória Moura,932.065.784-00,CTA-95937,DOS-67641,40055122920258260224,PIS_REC_002,Fiança Bancária,342362.84,PENDENTE
Ana Liz Caldeira,519.326.478-64,CTA-64007,DOS-73343,00003822420228260486,PIS_REC_002,Seguro Garantia,297720.79,ATIVO
Arthur Gabriel Viana,169.284.703-13,CTA-16590,DOS-97252,40031554520268260223,PIS_CIVEL_003,Carta de Fiança,18338.42,ENCERRADO
Kamilly Gonçalves,685.730.149-20,CTA-81665,DOS-63563,40500305420268260100,PIS_REC_002,Depósito Judicial,72444.96,ATIVO
André Farias,750.183.926-30,CTA-74693,DOS-97210,40026826420258260362,PIS_TRAB_004,Fiança Bancária,184187.03,ENCERRADO
Francisco Farias,320.756.148-90,CTA-45620,DOS-20127,40002505620258260529,PIS_REC_002,Carta de Fiança,68690.4,ATIVO
Amanda Garcia,965.203.481-98,CTA-35447,DOS-54464,40223226620258260002,PIS_REC_001,Fiança Bancária,484885.55,PENDENTE
Joana Cavalcante,861.927.043-50,CTA-44823,DOS-24677,40060436420268260068,PIS_TRAB_004,Bloqueio Judicial,25669.7,ATIVO
Cecília Pacheco,614.398.075-66,CTA-61159,DOS-81506,40022159220268260510,PIS_CIVEL_003,Fiança Bancária,161526.91,ATIVO
Melissa Borges,796.142.305-25,CTA-10027,DOS-19747,40229640520268260002,PIS_REC_001,Seguro Garantia,277462.22,ENCERRADO
Enrico Mendonça,928.613.574-28,CTA-79167,DOS-53928,40500374620268260100,PIS_CIVEL_003,Depósito Judicial,29061.43,EM_ANALISE
João da Paz,659.237.014-99,CTA-13136,DOS-63101,40005138320268260099,PIS_REC_001,Seguro Garantia,35847.43,ENCERRADO
Yago Souza,194.360.582-33,CTA-10311,DOS-86922,40229684220268260002,PIS_REC_001,Depósito Judicial,94359.13,EM_ANALISE
Mariana Pastor,485.013.679-66,CTA-35962,DOS-35799,40008989320258260510,PIS_CIVEL_003,Depósito Judicial,25888.68,PENDENTE
Emanuella Cirino,271.689.034-03,CTA-35503,DOS-78015,40448300620258260002,PIS_TRAB_004,Bloqueio Judicial,64981.32,ATIVO
Julia das Neves,423.815.679-09,CTA-66300,DOS-70404,40093489420258260002,PIS_REC_001,Bloqueio Judicial,73131.87,EM_ANALISE
Breno Pacheco,504.817.239-60,CTA-55156,DOS-84681,40016829620258260663,PIS_CIVEL_003,Fiança Bancária,399304.14,ATIVO
Caio Marques,365.102.794-52,CTA-94555,DOS-47992,00029279120258260347,PIS_TRAB_004,Carta de Fiança,44003.76,ENCERRADO
Catarina Rezende,683.097.524-74,CTA-42892,DOS-70822,30049103120258190004,PIS_REC_001,Carta de Fiança,33542.33,EM_ANALISE
Dra. Heloísa Costa,460.531.827-53,CTA-11790,DOS-58960,30050169020258190004,PIS_REC_002,Fiança Bancária,332089.66,EM_ANALISE
Ana Lívia Barbosa,897.564.312-37,CTA-57524,DOS-13259,30001642320258190004,PIS_REC_001,Bloqueio Judicial,5507.88,ENCERRADO
Henry Cavalcante,962.380.714-78,CTA-48072,DOS-36888,30002785920258190004,PIS_TRAB_004,Depósito Judicial,77869.58,EM_ANALISE
José Peixoto,092.765.318-40,CTA-34730,DOS-13232,30006848020258190004,PIS_REC_002,Bloqueio Judicial,57890.72,ENCERRADO
Emilly Vasconcelos,571.829.604-94,CTA-16262,DOS-69769,30010857920258190004,PIS_REC_001,Fiança Bancária,178214.33,EM_ANALISE
Valentim Leão,378.126.540-44,CTA-65098,DOS-29071,30015395920258190004,PIS_REC_001,Carta de Fiança,137954.39,ENCERRADO
Benjamin Carvalho,265.907.831-95,CTA-30219,DOS-95054,30016807820258190004,PIS_REC_001,Seguro Garantia,153096.18,ATIVO
Heloísa Sousa,304.571.926-07,CTA-58650,DOS-58281,30032162720258190004,PIS_REC_002,Depósito Judicial,28604.15,ATIVO
Kaique Casa Grande,941.586.372-28,CTA-21190,DOS-43078,30066381020258190004,PIS_REC_001,Depósito Judicial,82271.27,PENDENTE
Helena da Conceição,602.573.841-62,CTA-37208,DOS-16992,08192795420258190002,PIS_REC_001,Bloqueio Judicial,4506.14,PENDENTE
Theo Farias,206.789.135-95,CTA-74882,DOS-58734,30040919420258190004,PIS_CIVEL_003,Carta de Fiança,127185.9,ATIVO
Theodoro Ferreira,617.082.935-40,CTA-53926,DOS-75943,30052801020258190004,PIS_CIVEL_003,Depósito Judicial,51029.59,ENCERRADO
Maria Cecília Barros,319.527.064-16,CTA-61068,DOS-50256,30055876120258190004,PIS_TRAB_004,Carta de Fiança,26811.7,PENDENTE
Maria Isis Albuquerque,901.824.765-02,CTA-13206,DOS-49586,30078194620258190004,PIS_TRAB_004,Depósito Judicial,99928.69,ATIVO
Henry da Cunha,184.396.502-05,CTA-26529,DOS-31351,30077909320258190004,PIS_REC_001,Depósito Judicial,21011.62,ATIVO
Henry Ribeiro,457.982.031-23,CTA-10766,DOS-46099,30090588520258190004,PIS_REC_002,Carta de Fiança,48035.34,EM_ANALISE
Apollo Lima,154.293.078-23,CTA-62780,DOS-35135,08246968020248190209,PIS_TRAB_004,Carta de Fiança,82626.27,ENCERRADO
Josué Rezende,635.289.704-56,CTA-12958,DOS-97754,30083901720258190004,PIS_CIVEL_003,Depósito Judicial,33790.68,PENDENTE
Davi Luiz Pastor,106.592.843-24,CTA-94622,DOS-94352,30059479320258190004,PIS_REC_001,Depósito Judicial,6350.24,PENDENTE
Luiz Otávio Cavalcanti,637.924.501-43,CTA-15717,DOS-29012,10122784720268130105,PIS_TRAB_004,Depósito Judicial,105046.49,EM_ANALISE
Sra. Luiza Câmara,035.469.278-00,CTA-83513,DOS-29765,10123209620268130105,PIS_REC_001,Fiança Bancária,378498.78,ATIVO
Allana Costela,860.154.932-24,CTA-96192,DOS-43845,10063538020268130231,PIS_REC_001,Depósito Judicial,98723.03,EM_ANALISE
Sra. Sophie Nascimento,130.675.982-02,CTA-47896,DOS-27235,10082759420268130672,PIS_TRAB_004,Fiança Bancária,302826.45,ATIVO
Maria Helena Correia,824.597.016-67,CTA-51960,DOS-10945,10002100720268130092,PIS_CIVEL_003,Carta de Fiança,37895.97,ENCERRADO
Sr. Augusto Pacheco,416.320.795-34,CTA-47084,DOS-33367,10053120820268130707,PIS_TRAB_004,Seguro Garantia,38624.47,EM_ANALISE
Vitor Novaes,271.483.560-08,CTA-27536,DOS-33784,10003702620268130191,PIS_REC_002,Carta de Fiança,148756.36,ATIVO
Jade Costa,316.289.740-87,CTA-53006,DOS-63907,10006585020268130392,PIS_CIVEL_003,Depósito Judicial,32416.68,ATIVO
Hadassa Oliveira,139.258.470-14,CTA-72475,DOS-63629,10153396520268130702,PIS_REC_001,Seguro Garantia,242495.53,ATIVO
Sr. Thales Lopes,965.421.038-05,CTA-98721,DOS-20500,11101288720258130024,PIS_TRAB_004,Depósito Judicial,38813.58,EM_ANALISE
Léo Vasconcelos,094.678.215-67,CTA-15864,DOS-46400,10007358320268130287,PIS_TRAB_004,Seguro Garantia,285044.23,ATIVO
Marcela Teixeira,380.549.762-83,CTA-18667,DOS-38919,10853891620268130024,PIS_TRAB_004,Carta de Fiança,63954.76,EM_ANALISE
Nicolas da Paz,326.987.150-30,CTA-65188,DOS-75447,10008704020268130079,PIS_REC_002,Bloqueio Judicial,63854.9,PENDENTE
Anthony Gabriel Pacheco,549.731.802-97,CTA-42464,DOS-27653,10829113520268130024,PIS_CIVEL_003,Depósito Judicial,58503.45,PENDENTE
Sarah da Costa,524.973.086-83,CTA-10908,DOS-40468,10838934920268130024,PIS_REC_001,Bloqueio Judicial,64331.57,EM_ANALISE
Sra. Manuela Pereira,203.158.496-06,CTA-94227,DOS-57195,10846651220268130024,PIS_REC_002,Bloqueio Judicial,73620.38,ENCERRADO
Rebeca Silva,284.709.516-02,CTA-92195,DOS-64402,10849691120268130024,PIS_CIVEL_003,Seguro Garantia,65160.79,PENDENTE
Ana Clara Ferreira,275.198.463-00,CTA-92700,DOS-53656,10853051520268130024,PIS_CIVEL_003,Depósito Judicial,17451.2,EM_ANALISE
Pedro Rodrigues,736.251.048-90,CTA-20247,DOS-27023,10164934720268130079,PIS_REC_001,Bloqueio Judicial,61115.49,ATIVO
Mariah Pimenta,489.265.731-09,CTA-71426,DOS-95867,10035123220268130290,PIS_REC_002,Carta de Fiança,116359.79,PENDENTE
Carolina Freitas,897.350.214-04,CTA-51340,DOS-18165,50054416620258210024,PIS_REC_002,Seguro Garantia,296995.23,ATIVO
Ryan Sá,236.104.859-06,CTA-34994,DOS-27200,50013036620198210024,PIS_REC_002,Seguro Garantia,113097.83,PENDENTE
Lunna Montenegro,734.162.859-64,CTA-53886,DOS-57477,50013576620188210024,PIS_TRAB_004,Fiança Bancária,257502.97,PENDENTE
Ana Liz Pimenta,986.340.152-89,CTA-19679,DOS-36278,50013686620168210024,PIS_TRAB_004,Fiança Bancária,494873.76,PENDENTE
Dra. Brenda Alves,380.176.294-78,CTA-62150,DOS-54264,50014006620198210024,PIS_REC_002,Depósito Judicial,41642.18,ENCERRADO
Ravi Lucca Silva,619.073.524-06,CTA-80394,DOS-67592,50010736620158210023,PIS_REC_002,Carta de Fiança,41825.67,ATIVO
Vitor Hugo Aragão,369.172.504-06,CTA-58732,DOS-51078,50010946620208210023,PIS_REC_001,Seguro Garantia,102315.24,PENDENTE
Joana Costela,498.253.706-29,CTA-37971,DOS-40630,50011376620218210023,PIS_REC_002,Bloqueio Judicial,69825.17,ATIVO
Agatha Abreu,721.468.053-07,CTA-75535,DOS-70651,50011386620128210023,PIS_REC_001,Depósito Judicial,32581.33,ATIVO
Juliana Caldeira,537.920.481-32,CTA-37232,DOS-11238,50011706620158210023,PIS_TRAB_004,Depósito Judicial,56897.66,ENCERRADO
Luiz Gustavo Machado,045.368.712-17,CTA-84930,DOS-52252,50012126620258210023,PIS_REC_001,Seguro Garantia,78612.99,PENDENTE
Dr. Pedro da Cunha,986.245.713-91,CTA-15115,DOS-28428,50001046620068210023,PIS_CIVEL_003,Carta de Fiança,97716.16,EM_ANALISE
Ayla Caldeira,705.896.321-59,CTA-71280,DOS-43664,50001146620138210023,PIS_TRAB_004,Seguro Garantia,249978.57,EM_ANALISE
Gabrielly Farias,742.631.058-26,CTA-83320,DOS-90603,50012466620108210023,PIS_TRAB_004,Seguro Garantia,277517.38,EM_ANALISE
Alana Viana,263.059.174-34,CTA-53072,DOS-64804,50012676620158210023,PIS_CIVEL_003,Bloqueio Judicial,38473.65,PENDENTE
Maria Aparecida,625.401.793-80,CTA-81836,DOS-66315,50001366620098210023,PIS_CIVEL_003,Seguro Garantia,176790.87,ENCERRADO
Alícia Garcia,641.978.253-82,CTA-46355,DOS-68062,50013106620168210023,PIS_REC_002,Seguro Garantia,175563.31,PENDENTE
Valentina Martins,673.159.824-00,CTA-93647,DOS-34829,50001476620078210023,PIS_TRAB_004,Fiança Bancária,380314.9,ENCERRADO
Luan Campos,983.562.740-10,CTA-82443,DOS-92944,50013526620268210023,PIS_REC_001,Carta de Fiança,31870.24,EM_ANALISE
João Pedro Rezende,250.139.684-70,CTA-59405,DOS-80198,50013636620248210023,PIS_CIVEL_003,Depósito Judicial,6989.78,EM_ANALISE
Mariane Camargo,709.832.164-87,CTA-11318,DOS-27122,00052836620204036310,PIS_CIVEL_003,Carta de Fiança,87502.32,PENDENTE
Lucca Gomes,692.805.147-76,CTA-58517,DOS-19528,00046346220204036323,PIS_CIVEL_003,Fiança Bancária,406765.55,PENDENTE
Antonella Cirino,490.157.638-01,CTA-31402,DOS-32887,00118535320204036315,PIS_CIVEL_003,Carta de Fiança,36359.35,PENDENTE
Bruno Mendes,576.418.293-09,CTA-23863,DOS-83080,50280659320214036100,PIS_REC_001,Bloqueio Judicial,42466.4,ENCERRADO
Davi Luiz das Neves,350.978.214-32,CTA-74505,DOS-53609,50011616420214036317,PIS_TRAB_004,Fiança Bancária,358208.44,PENDENTE
Dr. Diogo Ferreira,613.824.509-15,CTA-12557,DOS-33298,00081182020214036301,PIS_REC_002,Fiança Bancária,372165.51,EM_ANALISE
Fernando Pimenta,632.109.784-50,CTA-99667,DOS-21043,50027878420224036317,PIS_TRAB_004,Seguro Garantia,62759.9,EM_ANALISE
João Lucas Novaes,257.104.936-43,CTA-87192,DOS-35988,00072957420204036303,PIS_REC_001,Bloqueio Judicial,23543.62,EM_ANALISE
